City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kalyan,Maharashtra,40.4,36.2,35.9,32.4,17.4,11.2,9.4,8.4,7.3,20.2,52.6,57.4
Honnali,Karnataka,39.7,29.9,37.6,34.8,23.5,12.4,11.1,12.1,12.5,29.7,47.0,39.6
Thiruvananthapuram,Kerala,36.2,35.4,39.2,32.8,32.5,18.0,15.5,20,18.9,24.1,33.4,24.1
Haveri,Karnataka,49.5,35.1,34.6,32.9,23.1,12.0,10.6,8.9,12,33.1,47.1,19.1
Ooty,Tamil Nadu,37.8,25.4,37.5,29.1,31.6,17.1,17.3,17.2,20.3,24.9,28.8,29.4
Hassan,Karnataka,42.3,32.8,37.1,36.1,25.3,17.5,13.0,14.5,13.2,26,34.1,36.0
Mangalore,Karnataka,39.4,37.9,34.6,29.8,19.3,16.6,15.7,16.2,19.4,24.5,25.0,37.1
Hubballi,Karnataka,33.5,24.0,31.1,30.9,27.4,25.1,22.2,17.2,17,21.2,40.1,28.0
Raipur,Chhattisgarh,42.5,30.3,29.0,25.3,23.3,17.5,9.7,15.8,14.9,26.1,44.1,36.5
Trichur,Kerala,30.5,30.1,28.6,28.5,28.5,27.9,21.5,20.5,21.3,20.1,26.7,27.7
Chennai,Tamil Nadu,45.0,34.0,28.4,16.8,14.4,16.2,16.9,14.5,19.1,27.5,43.0,36.2
Amaravati,Andhra Pradesh,63.2,29.2,22.3,19.5,17.8,14.3,9.5,9.3,13.8,24.9,50.0,41.1
Ramanagara,Karnataka,40.1,34.7,35.2,33.4,23.9,10.1,12.1,10.9,13.6,22,41.1,28.8
Semmandalam,Tamil Nadu,44.9,31.9,27.2,15.5,19.8,18.9,16.0,23.3,31.7,53.7,49.9,50.4
